,STT,Loại giao dich,Giá tiền,Vị trí,Tầng,View,Hướng cửa chính,Số phòng ngủ,Số WC,Nội thất,Tiện ích,Giấy tờ,Gần bệnh viện,Gần trường học
0,1,đã thuê,4000000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",53,Suối Tiên,Bắc,3,2,Ghế,Nhà hàng,Khác,Bệnh viện Nhi Đồng cách 1000m,Mầm non cách 300m
1,2,đã bán,2100000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",71,Cầu Sài Gòn,Nam,3,3,Ghế,Phòng gym,Sổ hồng,Bệnh viện Nhi Đồng cách 500m,Mầm non cách 300m
2,3,đang cho thuê,1000000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",37,Suối Tiên,Tây Nam,3,1,Rèm,Phòng yoga,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 300m,Mầm non cách 250m
3,4,đang bán,3650000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",71,Phạm VĂn Đồng,Đông,4,2,Ghế,Nhà hàng,Khác,Bệnh viện Nhi Đồng cách 200m,THCS cách 1200m
4,5,đã thuê,4900000000 ,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",25,Đầm Sen,Tây,2,2,Rèm,Phòng yoga,Sổ hồng,Bệnh viện Nhi Đồng cách 200m,Mầm non cách 300m
5,6,đã thuê,1950000000 ,"12 Tân Hưng, quận 1",72,Đầm Sen,Bắc,3,2,Tủ lạnh,Phòng gym,Sổ hồng,Bệnh viện chợ Rẫy cách 300m,THPT cách 200m
6,7,đã bán,5000000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",94,Cầu Sài Gòn,Tây Nam,4,3,Ghế,Hồ bơi,Sổ hồng,Bệnh viện chợ Rẫy cách 1000m,Mầm non cách 250m
7,8,đã bán,2500000000,"12 Tân Hưng, quận 1",49,Landmark 81,Tây Nam,3,3,TV,Nhà hàng,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 200m,Tiểu học 300 m
8,9,đang cho thuê,1950000000 ,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",84,Không có ban công,Bắc,1,3,Ghế,Cửu hàng giặt sấy,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 200m,Mầm non cách 300m
9,10,đang cho thuê,2550000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",36,Không có ban công,Đông,1,1,Bàn,Phòng gym,Sổ hồng,Bệnh viện chợ Rẫy cách 200m,THPT cách 1300m
